MINT,jup_mint_listed,jup_has_price,jup_price_usd,jup_confidence
A4zyBooAFkpfy7osonRJMQ8a6zArGxN5fNXjXo1ZTZK2,0,0,,
EwJN2GqUGXXzYmoAciwuABtorHczTA5LqbukKXV1viH7,0,0,,
6j28waP2NyoCBJrrVNHZuEzLDL25DXdNxMFsMNMxYht7,0,0,,
G9tt98aYSznRk7jWsfuz9FnTdokxS6Brohdo9hSmjTRB,0,0,,
MERt85fc5boKw3BW1eYdxonEuJNvXbiMbs6hvheau5K,0,0,,
6nY5u2KWywfY6ERXgBBr6YNfBATHi13HT1fge64vCAKo,0,0,,
HfMVgG3fQr45JtrQD3jpVki6E5H5BSdjN8kCAvDEDKMQ,0,0,,
GJQ1iDoPWWo7pXeNKhC9BLD3FHL2tgFEVGMHYGEfQZT,0,0,,
8VLvHQ4E2t1Azptwh5p26Wg64ycnfE9BV9bDba6U14wG,0,0,,
k5Ybbtmnd1eAtBZoTqB9uzd24bVPz8Aip5EGVCJXQCM,0,0,,
74YedyBSKbjYzWMhwuBQz3mwsN6vuSSdAfzX9WLZQUtq,0,0,,
2wmKXX1xsxLfrvjEPrt2UHiqj8Gbzwxvffr9qmNjsw8g,0,0,,
HDLRMKW1FDz2q5Zg778CZx26UgrtnqpUDkNNJHhmVUFr,0,0,,
56tNQ29XBrbovm5K5SThuQatjCy92w2wKUaUeQ8WCD9g,0,0,,
NpgsBSfavf5hmUeGQAbMz5pHDtXhn9ZFNRQypTr8Tfv,0,0,,
J7WYVzFNynk9D28eBCccw2EYkygygiLDCVCabV7CupWL,0,0,,
CH74tuRLTYcxG7qNJCsV9rghfLXJCQJbsu7i52a8F1Gn,0,0,,
AD27ov5fVU2XzwsbvnFvb1JpCBaCB5dRXrczV9CqSVGb,0,0,,
7Q2afV64in6N6SeZsAAB81TJzwDoD6zpqmHkzi9Dcavn,0,0,,
BAexggGFsiLCKr17cSZF12wkHd8BkR1DBhzuSb78WTR2,0,0,,
FNFKRV3V8DtA3gVJN6UshMiLGYA8izxFwkNWmJbFjmRj,0,0,,
2ASbApnFVSTp2RJvMLgLVfbDwJvu1FRXdhJWrGs89Lhj,0,0,,
6j14WyX1Ag2pLWvn99euK4xp2VcZD62VeJv2iwCrYmT8,0,0,,
5K1JtWpdSksVKaL6R2DuLpCDAjzxK6sq2CpXaXDWHVLg,0,0,,
CRWNYkqdgvhGGae9CKfNka58j6QQkaD5bLhKXvUYqnc1,0,0,,
DM8WStrzE7XHLr5EeuE8693VAqAx3MiTcAqfH6WcsSSC,0,0,,
BABYsocP6cB95xvBDXnjXKX96VBNC37dmNWUtaV9Jk6v,0,0,,
4D2umdRkmjgsFj4Vf9foJGMkTjNQ41jXaGuAL3xb4dQj,0,0,,
EZF2sPJRe26e8iyXaCrmEefrGVBkqqNGv9UPGG9EnTQz,0,0,,
GCxgQbbvJc4UyqGCsUAUa38npzZX27EMxZwckLuWeEkt,0,0,,
r8nuuzXCchjtqsmQZVZDPXXq928tuk7KVH479GsKVpy,0,0,,
5ENUvV3Ur3o3Fg6LVRfHL4sowidiVTMHHsEFqNJXRz6o,0,0,,
6xcfmgzPgABAuAfGDhvvLLMfMDur4at7tU7j3NudUviK,0,0,,
EiNEYyUcPHpGt2btoMeuTrLtsAeayY74ECvPRYzcdPpo,0,0,,
FMBfAxhiTwDmujiEGbexFtExHR9q7nqnRF1Rjd5UmhS7,0,0,,
puppy8Lhckjh768j7vCPLr4244a64ZqioskcXxyb4rC,0,0,,
E48Ueg1o9avL5s7XBjfLViercSrNSJCvmbZMvnwN873,0,0,,
G7eETAaUzmsBPKhokZyfbaT4tD9igdZSmfQGEYWem8Sw,0,0,,
9sQtcMxC7zwoVm9vsbZD6XkbZMik5882sA22oc6kb6bU,0,0,,
8mgeCL7k2cB2KTN8NhD5biqvcbkfrmBogDpYoHmn5cKQ,0,0,,
Eeybx9mpk4zoSHUftcJje97xr939Djdzvmo7E7koHGCA,0,0,,
DFL1zNkaGPWm1BqAVqRjCZvHmwTFrEaJtbzJWgseoNJh,0,0,,
ErGB9xa24Szxbk1M28u2Tx8rKPqzL6BroNkkzk5rG4zj,0,0,,
3UcBMHnSTCXaxUbP6B96kHcED98DgEnNa9rGKzwXKMf4,0,0,,
DiJWJ6hgV7Vm5JP6SU7xvo7nULR14UvrGoWmSu34fEvZ,0,0,,
5gs8nf4wojB5EXgDUWNLwXpknzgV2YWDhveAeBZpVLbp,0,0,,
AfARcLLqRHsZc4xPWHE9nXZAswZaW294Ff1xcYQbjkLq,0,0,,
7rmV64vLfbrbS5rTFvojYWzCVEn8dnJ9RfSRx3nD6C5E,0,0,,
HkNokfCXG33eu5vCcS49mq3jZcKZeQSQCyta964YxxYg,0,0,,
6Kuq8rShSWmYhrzCvymB5GyfQeKfcUb18VHsACw9E7Hf,0,0,,
vqU8NVkkgpFtt3YECwuQRD3RhX7LYaqZKrotZbdiBJn,0,0,,
Gh6jp5U3yfcJwkZ7RoY6Ak2tgd752dSqBSYwHnfK3gft,0,0,,
9qTA3A113oG94ppSpiJTwWCyj44wyNcgPAs5i9d7QQne,0,0,,
BhPXDQio8xtNC6k5Bg5fnUVL9kGN8uvRDNwW8MZBu8DL,0,0,,
